phase,epoch,f1
1,0,0.366163531790177
1,9,0.3586023707687855
1,19,0.3624497636159261
1,29,0.36648702025413515
1,39,0.377420967767636
1,49,0.3925405596693357
1,59,0.2875590869536003
1,69,0.12421355741719405
1,79,0.39531733145316444
1,89,0.16392981265981993
1,99,0.12625367929538092
1,109,0.12763816982507706
1,119,0.12506775590280692
1,129,0.412406069735686
1,139,0.12989351309835911
1,149,0.12122450853387515
1,159,0.4071828156709671
1,169,0.12383636387685935
1,179,0.15435438193380832
1,189,0.13124385791520277
1,199,0.12560129369298617
1,209,0.41626283844312034
1,219,0.424655209283034
1,229,0.12753505386412145
1,239,0.16869868867099286
1,249,0.13527521533270678
1,259,0.4107336168487867
1,269,0.15481548982361953
1,279,0.41564640442530315
1,289,0.1497181495775779
1,299,0.41459423740704854
